Province,District,LocalLevel,Ward,Population2021,Female,Density,SourceFile
1,Bagmati ,DudhouliMunicipality,1,4356,2246,180.9960165918,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,2,4032,2110,140.20980352371,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,3,3742,1982,197.174845927512,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,4,4620,2411,215.280026426322,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,5,4164,2210,156.476462712023,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,6,5737,2925,245.378295316735,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,7,4318,2309,317.364420052904,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,8,3463,1773,210.885799523908,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,9,6681,3456,666.370900786639,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,10,6425,3350,323.880476258049,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,11,7500,3878,257.097687282896,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,12,4206,2158,100.59193546848,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,13,5704,2892,118.375732211182,WardPopulationBagmati.xlsx
1,Bagmati ,DudhouliMunicipality,14,5259,2655,77.2664172955123,WardPopulationBagmati.xlsx
7,Bagmati ,GhyanglekhaGaunpalika,1,2060,1047,50.2932204616747,WardPopulationBagmati.xlsx
7,Bagmati ,GhyanglekhaGaunpalika,2,2724,1401,90.5957850211244,WardPopulationBagmati.xlsx
7,Bagmati ,GhyanglekhaGaunpalika,3,2283,1169,64.2834558571872,WardPopulationBagmati.xlsx
7,Bagmati ,GhyanglekhaGaunpalika,4,3222,1686,112.990585871267,WardPopulationBagmati.xlsx
7,Bagmati ,GhyanglekhaGaunpalika,5,2363,1196,74.5243694214938,WardPopulationBagmati.xlsx
4,Bagmati ,GolanjorGaunpalika,1,2608,1304,65.1495970142699,WardPopulationBagmati.xlsx
4,Bagmati ,GolanjorGaunpalika,2,1808,936,72.4774732556921,WardPopulationBagmati.xlsx
4,Bagmati ,GolanjorGaunpalika,3,2522,1280,151.86769565762,WardPopulationBagmati.xlsx
4,Bagmati ,GolanjorGaunpalika,4,3670,1851,103.315353083738,WardPopulationBagmati.xlsx
4,Bagmati ,GolanjorGaunpalika,5,2379,1240,97.8670938537202,WardPopulationBagmati.xlsx
4,Bagmati ,GolanjorGaunpalika,6,2994,1548,108.332549665173,WardPopulationBagmati.xlsx
4,Bagmati ,GolanjorGaunpalika,7,2756,1349,182.857664549339,WardPopulationBagmati.xlsx
9,Bagmati ,HariharpurgaghiGaunpalika,1,5015,2540,76.9614933335003,WardPopulationBagmati.xlsx
9,Bagmati ,HariharpurgaghiGaunpalika,2,3942,2001,118.865276250501,WardPopulationBagmati.xlsx
9,Bagmati ,HariharpurgaghiGaunpalika,3,4016,2028,101.362745894575,WardPopulationBagmati.xlsx
9,Bagmati ,HariharpurgaghiGaunpalika,4,2438,1289,80.617462304475,WardPopulationBagmati.xlsx
9,Bagmati ,HariharpurgaghiGaunpalika,5,3197,1670,61.2232043872813,WardPopulationBagmati.xlsx
9,Bagmati ,HariharpurgaghiGaunpalika,6,2242,1160,88.8557527124586,WardPopulationBagmati.xlsx
9,Bagmati ,HariharpurgaghiGaunpalika,7,3100,1620,75.9006388165024,WardPopulationBagmati.xlsx
9,Bagmati ,HariharpurgaghiGaunpalika,8,2555,1297,44.4886959447326,WardPopulationBagmati.xlsx
